"hardware","algorithm","process","size (bytes)","time (s)","throughput (kB/s)","throughput (GB/s)"
server,chacha20-poly1305,encryption,16384,3,1831086.76,1.83108676
server,chacha20-poly1305,decryption,16,3,187065.29,0.18706529
server,chacha20-poly1305,decryption,64,3,399246.68,0.39924668
server,chacha20-poly1305,decryption,256,3,922820.69,0.92282069
server,chacha20-poly1305,decryption,1024,3,1648182.27,1.64818227
server,chacha20-poly1305,decryption,8192,3,1819107.33,1.81910733
server,chacha20-poly1305,decryption,16384,3,1834221.57,1.83422157
server,chacha20-poly1305,encryption,16,3,196812.11,0.19681210999999998
server,chacha20-poly1305,encryption,64,3,388386.43,0.38838643
server,chacha20-poly1305,encryption,256,3,931899.14,0.93189914
server,chacha20-poly1305,encryption,1024,3,1660595.88,1.6605958799999998
server,chacha20-poly1305,encryption,8192,3,1819385.86,1.8193858600000001
server,chacha20-poly1305,encryption,16384,3,1832725.16,1.8327251599999999
server,chacha20-poly1305,decryption,16,3,187039.51,0.18703951000000002
server,chacha20-poly1305,decryption,64,3,397222.34,0.39722234
server,chacha20-poly1305,decryption,256,3,920688.04,0.92068804
server,chacha20-poly1305,decryption,1024,3,1649485.14,1.64948514
server,chacha20-poly1305,decryption,8192,3,1819675.31,1.81967531
server,chacha20-poly1305,decryption,16384,3,1834412.71,1.83441271
server,chacha20-poly1305,encryption,16,3,196638.84,0.19663884
server,chacha20-poly1305,encryption,64,3,400833.07,0.40083307
server,chacha20-poly1305,encryption,256,3,916850.09,0.91685009
server,chacha20-poly1305,encryption,1024,3,1660696.92,1.66069692
server,chacha20-poly1305,encryption,8192,3,1819085.48,1.81908548
server,chacha20-poly1305,encryption,16384,3,1834778.62,1.83477862
server,chacha20-poly1305,decryption,16,3,186833.64,0.18683364000000002
server,chacha20-poly1305,decryption,64,3,399640.28,0.39964028
server,chacha20-poly1305,decryption,256,3,934485.93,0.93448593
server,chacha20-poly1305,decryption,1024,3,1650694.83,1.6506948300000002
server,chacha20-poly1305,decryption,8192,3,1819735.38,1.8197353799999998
server,chacha20-poly1305,decryption,16384,3,1834445.48,1.83444548
server,chacha20-poly1305,encryption,16,3,193064.49,0.19306448999999998
server,chacha20-poly1305,encryption,64,3,388218.15,0.38821815000000004
server,chacha20-poly1305,encryption,256,3,914107.48,0.91410748
server,chacha20-poly1305,encryption,1024,3,1661338.28,1.66133828
server,chacha20-poly1305,encryption,8192,3,1819445.93,1.8194459299999999
server,chacha20-poly1305,encryption,16384,3,1835821.74,1.83582174
server,chacha20-poly1305,decryption,16,3,186842.61,0.18684261
server,chacha20-poly1305,decryption,64,3,396422.7,0.3964227
server,chacha20-poly1305,decryption,256,3,920012.29,0.9200122900000001
server,chacha20-poly1305,decryption,1024,3,1648034.82,1.6480348200000001
server,chacha20-poly1305,decryption,8192,3,1820191.4,1.8201914
server,chacha20-poly1305,decryption,16384,3,1831971.5,1.8319715
server,chacha20-poly1305,encryption,16,3,196857.0,0.196857
server,chacha20-poly1305,encryption,64,3,400834.82,0.40083482
server,chacha20-poly1305,encryption,256,3,913557.42,0.9135574200000001
server,chacha20-poly1305,encryption,1024,3,1658254.34,1.65825434
server,chacha20-poly1305,encryption,8192,3,1819011.75,1.81901175
server,chacha20-poly1305,encryption,16384,3,1833478.83,1.83347883
server,chacha20-poly1305,decryption,16,3,183402.09,0.18340209
server,chacha20-poly1305,decryption,64,3,394962.82,0.39496282
server,chacha20-poly1305,decryption,256,3,934372.69,0.9343726899999999
server,chacha20-poly1305,decryption,1024,3,1642678.95,1.6426789499999999
server,chacha20-poly1305,decryption,8192,3,1818072.41,1.8180724099999999
server,chacha20-poly1305,decryption,16384,3,1833467.9,1.8334678999999998
server,chacha20-poly1305,encryption,16,3,196558.73,0.19655873000000001
server,chacha20-poly1305,encryption,64,3,388202.26,0.38820226
server,chacha20-poly1305,encryption,256,3,913865.39,0.91386539
server,chacha20-poly1305,encryption,1024,3,1659685.21,1.65968521
server,chacha20-poly1305,encryption,8192,3,1820229.63,1.8202296299999998
server,chacha20-poly1305,encryption,16384,3,1833943.04,1.83394304
server,chacha20-poly1305,decryption,16,3,186727.96,0.18672796
server,chacha20-poly1305,decryption,64,3,399462.93,0.39946293
server,chacha20-poly1305,decryption,256,3,934538.41,0.93453841
server,chacha20-poly1305,decryption,1024,3,1652303.87,1.6523038700000001
server,chacha20-poly1305,decryption,8192,3,1819333.97,1.81933397
server,chacha20-poly1305,decryption,16384,3,1833975.81,1.83397581
server,chacha20-poly1305,encryption,16,3,190753.07,0.19075307
server,chacha20-poly1305,encryption,64,3,401078.31,0.40107831
server,chacha20-poly1305,encryption,256,3,912545.62,0.91254562
server,chacha20-poly1305,encryption,1024,3,1660339.88,1.66033988
server,chacha20-poly1305,encryption,8192,3,1819022.68,1.81902268
server,chacha20-poly1305,encryption,16384,3,1833981.27,1.83398127
server,chacha20-poly1305,decryption,16,3,186925.15,0.18692514999999998
server,chacha20-poly1305,decryption,64,3,396838.78,0.39683878
server,chacha20-poly1305,decryption,256,3,934839.21,0.9348392099999999
server,chacha20-poly1305,decryption,1024,3,1649530.2,1.6495302
server,chacha20-poly1305,decryption,8192,3,1820579.16,1.8205791599999999
server,chacha20-poly1305,decryption,16384,3,1833790.12,1.8337901200000002
server,chacha20-poly1305,encryption,16,3,196684.37,0.19668437
server,chacha20-poly1305,encryption,64,3,400864.11,0.40086411
server,chacha20-poly1305,encryption,256,3,919121.92,0.91912192
server,chacha20-poly1305,encryption,1024,3,1660416.34,1.66041634
server,chacha20-poly1305,encryption,8192,3,1819107.33,1.81910733
server,chacha20-poly1305,encryption,16384,3,1834046.81,1.83404681
server,chacha20-poly1305,decryption,16,3,184919.73,0.18491973
server,chacha20-poly1305,decryption,64,3,385491.61,0.38549161
server,chacha20-poly1305,decryption,256,3,934726.14,0.93472614
server,chacha20-poly1305,decryption,1024,3,1648720.9,1.6487208999999998
server,chacha20-poly1305,decryption,8192,3,1818973.53,1.81897353
server,chacha20-poly1305,decryption,16384,3,1834276.18,1.83427618
server,chacha20-poly1305,encryption,16,3,196688.15,0.19668815
server,chacha20-poly1305,encryption,64,3,384784.17,0.38478417
server,chacha20-poly1305,encryption,256,3,913748.57,0.91374857
server,chacha20-poly1305,encryption,1024,3,1657444.01,1.65744401
server,chacha20-poly1305,encryption,8192,3,1819000.83,1.81900083
server,chacha20-poly1305,encryption,16384,3,1833402.37,1.8334023700000002
server,chacha20-poly1305,decryption,16,3,186931.03,0.18693103
server,chacha20-poly1305,decryption,64,3,397943.89,0.39794389
server,chacha20-poly1305,decryption,256,3,934736.04,0.93473604
server,chacha20-poly1305,decryption,1024,3,1650906.45,1.65090645
server,chacha20-poly1305,decryption,8192,3,1819901.95,1.81990195
server,chacha20-poly1305,decryption,16384,3,1832998.23,1.83299823
server,chacha20-poly1305,encryption,16,3,196841.8,0.19684179999999998
server,chacha20-poly1305,encryption,64,3,389478.23,0.38947823
server,chacha20-poly1305,encryption,256,3,914450.18,0.91445018
server,chacha20-poly1305,encryption,1024,3,1661252.61,1.66125261
server,chacha20-poly1305,encryption,8192,3,1818708.65,1.8187086499999998
server,chacha20-poly1305,encryption,16384,3,1831419.9,1.8314199
server,chacha20-poly1305,decryption,16,3,186893.01,0.18689301
server,chacha20-poly1305,decryption,64,3,399344.26,0.39934426
server,chacha20-poly1305,decryption,256,3,906869.5,0.9068695
server,chacha20-poly1305,decryption,1024,3,1594517.16,1.5945171599999999
server,chacha20-poly1305,decryption,8192,3,1820920.49,1.82092049
server,chacha20-poly1305,decryption,16384,3,1833293.14,1.8332931399999999
server,chacha20-poly1305,encryption,16,3,196503.98,0.19650398000000002
server,chacha20-poly1305,encryption,64,3,400978.73,0.40097873
server,chacha20-poly1305,encryption,256,3,924751.7,0.9247517
server,chacha20-poly1305,encryption,1024,3,1659711.83,1.65971183
server,chacha20-poly1305,encryption,8192,3,1819877.38,1.8198773799999999
server,chacha20-poly1305,encryption,16384,3,1833609.9,1.8336099
server,chacha20-poly1305,decryption,16,3,183070.46,0.18307046
server,chacha20-poly1305,decryption,64,3,399269.91,0.39926990999999995
server,chacha20-poly1305,decryption,256,3,934106.62,0.93410662
server,chacha20-poly1305,decryption,1024,3,1648847.53,1.64884753
server,chacha20-poly1305,decryption,8192,3,1819066.37,1.81906637
server,chacha20-poly1305,decryption,16384,3,1832774.31,1.83277431
server,chacha20-poly1305,encryption,16,3,196605.98,0.19660598
server,chacha20-poly1305,encryption,64,3,386937.56,0.38693756
server,chacha20-poly1305,encryption,256,3,918874.79,0.91887479
server,chacha20-poly1305,encryption,1024,3,1656797.87,1.6567978700000001
server,chacha20-poly1305,encryption,8192,3,1819555.16,1.81955516
server,chacha20-poly1305,encryption,16384,3,1832195.41,1.83219541
server,chacha20-poly1305,decryption,16,3,186852.67,0.18685267000000003
server,chacha20-poly1305,decryption,64,3,379091.07,0.37909107000000003
server,chacha20-poly1305,decryption,256,3,911389.95,0.91138995
server,chacha20-poly1305,decryption,1024,3,1642055.68,1.64205568
server,chacha20-poly1305,decryption,8192,3,1817168.55,1.81716855
server,chacha20-poly1305,decryption,16384,3,1831933.27,1.83193327
server,chacha20-poly1305,encryption,16,3,196789.61,0.19678960999999998
server,chacha20-poly1305,encryption,64,3,400896.23,0.40089622999999996
server,chacha20-poly1305,encryption,256,3,914522.88,0.91452288
server,chacha20-poly1305,encryption,1024,3,1653634.73,1.65363473
server,chacha20-poly1305,encryption,8192,3,1819437.74,1.81943774
server,chacha20-poly1305,encryption,16384,3,1832741.55,1.83274155
server,chacha20-poly1305,decryption,16,3,186918.55,0.18691855
server,chacha20-poly1305,decryption,64,3,399885.44,0.39988544
server,chacha20-poly1305,decryption,256,3,934280.79,0.9342807900000001
server,chacha20-poly1305,decryption,1024,3,1644074.67,1.64407467
server,chacha20-poly1305,decryption,8192,3,1819710.81,1.8197108100000001
server,chacha20-poly1305,decryption,16384,3,1832992.77,1.83299277
server,chacha20-poly1305,encryption,16,3,196713.86,0.19671386
server,chacha20-poly1305,encryption,64,3,396046.51,0.39604651
server,chacha20-poly1305,encryption,256,3,913887.57,0.91388757
server,chacha20-poly1305,encryption,1024,3,1661007.87,1.6610078700000002
server,chacha20-poly1305,encryption,8192,3,1819090.94,1.81909094
server,chacha20-poly1305,encryption,16384,3,1833265.83,1.83326583
server,chacha20-poly1305,decryption,16,3,186548.21,0.18654821
server,chacha20-poly1305,decryption,64,3,387393.64,0.38739364000000004
server,chacha20-poly1305,decryption,256,3,929768.96,0.92976896
server,chacha20-poly1305,decryption,1024,3,1634232.32,1.63423232
server,chacha20-poly1305,decryption,8192,3,1820109.48,1.82010948
server,chacha20-poly1305,decryption,16384,3,1833151.15,1.83315115
server,sha256,encryption,16,3,40456.53,0.04045653
server,sha256,encryption,64,3,102456.53,0.10245653
server,sha256,encryption,256,3,208896.26,0.20889626
server,sha256,encryption,1024,3,278675.8,0.2786758
server,sha256,encryption,8192,3,308071.08,0.30807108
server,sha256,encryption,16384,3,309837.82,0.30983782
server,sha256,encryption,16,3,40456.83,0.04045683
server,sha256,encryption,64,3,102498.75,0.10249875
server,sha256,encryption,256,3,209200.04,0.20920004
server,sha256,encryption,1024,3,278929.41,0.27892941
server,sha256,encryption,8192,3,307970.05,0.30797005
server,sha256,encryption,16384,3,310105.43,0.31010543
server,sha256,encryption,16,3,40441.84,0.04044184
server,sha256,encryption,64,3,102449.51,0.10244951
server,sha256,encryption,256,3,209033.81,0.20903381
server,sha256,encryption,1024,3,278875.82,0.27887582
server,sha256,encryption,8192,3,307994.62,0.30799462
server,sha256,encryption,16384,3,309957.97,0.30995796999999997
server,sha256,encryption,16,3,40457.61,0.04045761
server,sha256,encryption,64,3,102489.64,0.10248963999999999
server,sha256,encryption,256,3,208995.84,0.20899584
server,sha256,encryption,1024,3,278921.22,0.27892121999999997
server,sha256,encryption,8192,3,308079.27,0.30807927
server,sha256,encryption,16384,3,310334.81,0.31033481
server,sha256,encryption,16,3,40466.19,0.04046619
server,sha256,encryption,64,3,102485.08,0.10248508
server,sha256,encryption,256,3,208995.58,0.20899558
server,sha256,encryption,1024,3,278762.15,0.27876215000000004
server,sha256,encryption,8192,3,308150.27,0.30815027
server,sha256,encryption,16384,3,310241.96,0.31024196000000004
server,sha256,encryption,16,3,40424.22,0.040424220000000004
server,sha256,encryption,64,3,102515.2,0.1025152
server,sha256,encryption,256,3,209021.35,0.20902135
server,sha256,encryption,1024,3,277656.92,0.27765692
server,sha256,encryption,8192,3,308292.27,0.30829227000000003
server,sha256,encryption,16384,3,309903.36,0.30990335999999996
server,sha256,encryption,16,3,40438.91,0.04043891
server,sha256,encryption,64,3,102466.37,0.10246637
server,sha256,encryption,256,3,208458.58,0.20845857999999998
server,sha256,encryption,1024,3,278859.09,0.27885909000000003
server,sha256,encryption,8192,3,307907.24,0.30790723999999997
server,sha256,encryption,16384,3,310269.27,0.31026927000000004
server,sha256,encryption,16,3,40455.55,0.04045555
server,sha256,encryption,64,3,102492.93,0.10249293
server,sha256,encryption,256,3,209181.27,0.20918127
server,sha256,encryption,1024,3,278926.68,0.27892668
server,sha256,encryption,8192,3,308177.58,0.30817758
server,sha256,encryption,16384,3,310110.89,0.31011089000000003
server,sha256,encryption,16,3,40413.39,0.04041339
server,sha256,encryption,64,3,102495.59,0.10249559
server,sha256,encryption,256,3,209211.05,0.20921104999999998
server,sha256,encryption,1024,3,278921.22,0.27892121999999997
server,sha256,encryption,8192,3,307926.36,0.30792636
server,sha256,encryption,16384,3,310241.96,0.31024196000000004
server,sha256,encryption,16,3,40485.87,0.04048587
server,sha256,encryption,64,3,102512.94,0.10251294
server,sha256,encryption,256,3,209063.77,0.20906376999999998
server,sha256,encryption,1024,3,278752.6,0.27875259999999996
server,sha256,encryption,8192,3,308098.39,0.30809839
server,sha256,encryption,16384,3,310302.04,0.31030204
server,sha256,encryption,16,3,40431.07,0.04043107
server,sha256,encryption,64,3,102513.56,0.10251356
server,sha256,encryption,256,3,209198.25,0.20919825
server,sha256,encryption,1024,3,278926.68,0.27892668
server,sha256,encryption,8192,3,307926.36,0.30792636
server,sha256,encryption,16384,3,310154.58,0.31015458
server,sha256,encryption,16,3,40422.11,0.04042211
server,sha256,encryption,64,3,102496.19,0.10249619
server,sha256,encryption,256,3,209104.04,0.20910404000000002
server,sha256,encryption,1024,3,278947.84,0.27894784
server,sha256,encryption,8192,3,308133.89,0.30813389
server,sha256,encryption,16384,3,310247.42,0.31024742
server,sha256,encryption,16,3,40445.39,0.04044539
server,sha256,encryption,64,3,102240.28,0.10224028
server,sha256,encryption,256,3,209160.96,0.20916095999999998
server,sha256,encryption,1024,3,278857.73,0.27885772999999997
server,sha256,encryption,8192,3,308092.93,0.30809293
server,sha256,encryption,16384,3,310444.03,0.31044403000000004
server,sha256,encryption,16,3,40442.5,0.0404425
server,sha256,encryption,64,3,102469.65,0.10246965
server,sha256,encryption,256,3,209021.35,0.20902135
server,sha256,encryption,1024,3,278905.86,0.27890586
server,sha256,encryption,8192,3,307967.32,0.30796732
server,sha256,encryption,16384,3,310170.97,0.31017097
server,sha256,encryption,16,3,40441.03,0.040441029999999996
server,sha256,encryption,64,3,102568.0,0.102568
server,sha256,encryption,256,3,209165.91,0.20916591
server,sha256,encryption,1024,3,278326.95,0.27832695
server,sha256,encryption,8192,3,308008.28,0.30800828
server,sha256,encryption,16384,3,310296.58,0.31029658000000004
server,sha256,encryption,16,3,40463.67,0.04046367
server,sha256,encryption,64,3,102478.04,0.10247803999999999
server,sha256,encryption,256,3,209179.73,0.20917973
server,sha256,encryption,1024,3,278714.03,0.27871403
server,sha256,encryption,8192,3,307975.51,0.30797551
server,sha256,encryption,16384,3,310192.81,0.31019281
server,sha256,encryption,16,3,40442.79,0.04044279
server,sha256,encryption,64,3,102467.18,0.10246717999999999
server,sha256,encryption,256,3,209035.26,0.20903526
server,sha256,encryption,1024,3,278680.23,0.27868023
server,sha256,encryption,8192,3,308139.35,0.30813935
server,sha256,encryption,16384,3,310318.42,0.31031842
server,sha256,encryption,16,3,40437.98,0.040437980000000005
server,sha256,encryption,64,3,102517.12,0.10251711999999999
server,sha256,encryption,256,3,209071.79,0.20907179
server,sha256,encryption,1024,3,278871.04,0.27887103999999996
server,sha256,encryption,8192,3,307825.32,0.30782532
server,sha256,encryption,16384,3,309837.82,0.30983782
server,sha256,encryption,16,3,40543.5,0.0405435
server,sha256,encryption,64,3,102132.46,0.10213246000000001
server,sha256,encryption,256,3,209101.06,0.20910106
server,sha256,encryption,1024,3,278799.36,0.27879936
server,sha256,encryption,8192,3,308147.54,0.30814754
server,sha256,encryption,16384,3,309761.37,0.30976137
server,sha256,encryption,16,3,40437.56,0.04043756
server,sha256,encryption,64,3,102442.2,0.1024422
server,sha256,encryption,256,3,209113.51,0.20911351
server,sha256,encryption,1024,3,278788.44,0.27878844
server,sha256,encryption,8192,3,307866.28,0.30786628000000005
server,sha256,encryption,16384,3,310028.97,0.31002896999999996
server,sha512,encryption,16,3,29346.75,0.02934675
server,sha512,encryption,64,3,117370.52,0.11737052
server,sha512,encryption,256,3,232547.33,0.23254733
server,sha512,encryption,1024,3,373582.17,0.37358217
server,sha512,encryption,8192,3,454694.23,0.45469423
server,sha512,encryption,16384,3,461007.53,0.46100753000000005
server,sha512,encryption,16,3,29366.91,0.02936691
server,sha512,encryption,64,3,117401.54,0.11740154
server,sha512,encryption,256,3,232616.96,0.23261695999999998
server,sha512,encryption,1024,3,373639.51,0.37363951
server,sha512,encryption,8192,3,454836.22,0.45483621999999996
server,sha512,encryption,16384,3,461034.84,0.46103484
server,sha512,encryption,16,3,29361.49,0.02936149
server,sha512,encryption,64,3,117373.25,0.11737325
server,sha512,encryption,256,3,232629.42,0.23262942
server,sha512,encryption,1024,3,373407.4,0.3734074
server,sha512,encryption,8192,3,454942.72,0.45494271999999997
server,sha512,encryption,16384,3,460843.69,0.46084369000000003
server,sha512,encryption,16,3,29368.03,0.02936803
server,sha512,encryption,64,3,117426.43,0.11742643
server,sha512,encryption,256,3,232451.93,0.23245193
server,sha512,encryption,1024,3,373725.53,0.37372553000000003
server,sha512,encryption,8192,3,454983.68,0.45498368
server,sha512,encryption,16384,3,461302.44,0.46130244
server,sha512,encryption,16,3,29344.79,0.029344790000000003
server,sha512,encryption,64,3,117415.34,0.11741533999999999
server,sha512,encryption,256,3,231718.91,0.23171891
server,sha512,encryption,1024,3,373521.41,0.37352141
server,sha512,encryption,8192,3,454882.65,0.45488265
server,sha512,encryption,16384,3,461362.52,0.46136252
server,sha512,encryption,16,3,29347.61,0.02934761
server,sha512,encryption,64,3,117281.94,0.11728194
server,sha512,encryption,256,3,232522.58,0.23252257999999998
server,sha512,encryption,1024,3,373501.95,0.37350195
server,sha512,encryption,8192,3,454819.84,0.45481984000000003
server,sha512,encryption,16384,3,461433.51,0.46143351
server,sha512,encryption,16,3,29359.43,0.02935943
server,sha512,encryption,64,3,117433.56,0.11743355999999999
server,sha512,encryption,256,3,232531.71,0.23253171
server,sha512,encryption,1024,3,373790.38,0.37379038
server,sha512,encryption,8192,3,454361.09,0.45436109
server,sha512,encryption,16384,3,461138.6,0.46113859999999995
server,sha512,encryption,16,3,29361.31,0.02936131
server,sha512,encryption,64,3,117451.54,0.11745154
server,sha512,encryption,256,3,232524.03,0.23252403
server,sha512,encryption,1024,3,373798.57,0.37379857
server,sha512,encryption,8192,3,454467.58,0.45446758000000004
server,sha512,encryption,16384,3,461389.82,0.46138982
server,sha512,encryption,16,3,29361.48,0.02936148
server,sha512,encryption,64,3,117433.81,0.11743381
server,sha512,encryption,256,3,232151.3,0.23215129999999998
server,sha512,encryption,1024,3,373356.54,0.37335653999999996
server,sha512,encryption,8192,3,454797.99,0.45479799
server,sha512,encryption,16384,3,460756.31,0.46075631
server,sha512,encryption,16,3,29361.1,0.029361099999999998
server,sha512,encryption,64,3,117427.9,0.11742789999999999
server,sha512,encryption,256,3,232503.3,0.2325033
server,sha512,encryption,1024,3,373484.89,0.37348489
server,sha512,encryption,8192,3,454631.42,0.45463142
server,sha512,encryption,16384,3,460871.0,0.460871
server,sha512,encryption,16,3,29349.38,0.02934938
server,sha512,encryption,64,3,117369.94,0.11736994
server,sha512,encryption,256,3,231982.51,0.23198251
server,sha512,encryption,1024,3,373636.1,0.37363609999999997
server,sha512,encryption,8192,3,454358.36,0.45435835999999996
server,sha512,encryption,16384,3,461034.84,0.46103484
server,sha512,encryption,16,3,29349.26,0.02934926
server,sha512,encryption,64,3,117428.59,0.11742859
server,sha512,encryption,256,3,232516.69,0.23251669
server,sha512,encryption,1024,3,373772.29,0.37377228999999995
server,sha512,encryption,8192,3,454653.27,0.45465327
server,sha512,encryption,16384,3,460980.22,0.46098022
server,sha512,encryption,16,3,29373.87,0.02937387
server,sha512,encryption,64,3,117257.07,0.11725707
server,sha512,encryption,256,3,232677.55,0.23267754999999998
server,sha512,encryption,1024,3,373743.27,0.37374327
server,sha512,encryption,8192,3,454582.27,0.45458227
server,sha512,encryption,16384,3,461204.14,0.46120414000000004
server,sha512,encryption,16,3,28610.33,0.028610330000000003
server,sha512,encryption,64,3,117435.48,0.11743548
server,sha512,encryption,256,3,232489.05,0.23248904999999997
server,sha512,encryption,1024,3,373764.44,0.37376444
server,sha512,encryption,8192,3,454784.34,0.45478434
server,sha512,encryption,16384,3,461067.61,0.46106760999999996
server,sha512,encryption,16,3,29358.26,0.029358259999999997
server,sha512,encryption,64,3,117444.84,0.11744484
server,sha512,encryption,256,3,232508.16,0.23250816
server,sha512,encryption,1024,3,373783.21,0.37378321000000003
server,sha512,encryption,8192,3,455060.14,0.45506014
server,sha512,encryption,16384,3,461067.61,0.46106760999999996
server,sha512,encryption,16,3,29348.71,0.02934871
server,sha512,encryption,64,3,117420.95,0.11742095
server,sha512,encryption,256,3,232673.11,0.23267311
server,sha512,encryption,1024,3,373579.09,0.37357909
server,sha512,encryption,8192,3,454410.24,0.45441023999999997
server,sha512,encryption,16384,3,460734.46,0.46073446
server,sha512,encryption,16,3,29373.58,0.029373580000000003
server,sha512,encryption,64,3,117424.81,0.11742481
server,sha512,encryption,256,3,232652.8,0.2326528
server,sha512,encryption,1024,3,373588.31,0.37358831
server,sha512,encryption,8192,3,454249.13,0.45424913
server,sha512,encryption,16384,3,460974.76,0.46097476
server,sha512,encryption,16,3,29362.94,0.029362939999999997
server,sha512,encryption,64,3,117474.22,0.11747422
server,sha512,encryption,256,3,232657.24,0.23265724
server,sha512,encryption,1024,3,373390.68,0.37339068
server,sha512,encryption,8192,3,454590.46,0.45459046000000003
server,sha512,encryption,16384,3,461105.83,0.46110583
server,sha512,encryption,16,3,29367.33,0.02936733
server,sha512,encryption,64,3,117412.54,0.11741254
server,sha512,encryption,256,3,232652.12,0.23265212
server,sha512,encryption,1024,3,373744.64,0.37374464
server,sha512,encryption,8192,3,454980.95,0.45498095
server,sha512,encryption,16384,3,461357.06,0.46135706
server,sha512,encryption,16,3,29344.71,0.02934471
server,sha512,encryption,64,3,117448.34,0.11744834
server,sha512,encryption,256,3,232505.26,0.23250526000000002
server,sha512,encryption,1024,3,373442.22,0.37344222
server,sha512,encryption,8192,3,454767.96,0.45476796
server,sha512,encryption,16384,3,460936.53,0.46093653
